tree0: accuracy 0.98917; number of nodes 74; APL 55.41
tree1: accuracy 0.99133; number of nodes 70; APL 55.03
tree2: accuracy 0.99083; number of nodes 62; APL 47.62
tree3: accuracy 0.99133; number of nodes 64; APL 50.80
tree4: accuracy 0.99017; number of nodes 58; APL 43.61
tree5: accuracy 0.99100; number of nodes 56; APL 43.61
tree6: accuracy 0.99083; number of nodes 56; APL 42.50
tree7: accuracy 0.99050; number of nodes 56; APL 43.53
tree8: accuracy 0.99217; number of nodes 56; APL 42.28
tree9: accuracy 0.99100; number of nodes 52; APL 39.33
tree10: accuracy 0.98750; number of nodes 52; APL 40.07
tree11: accuracy 0.98350; number of nodes 52; APL 41.06
tree12: accuracy 0.98883; number of nodes 52; APL 39.21
tree13: accuracy 0.98567; number of nodes 48; APL 38.28
tree14: accuracy 0.98250; number of nodes 48; APL 37.11
tree15: accuracy 0.98183; number of nodes 46; APL 34.65
tree16: accuracy 0.98583; number of nodes 42; APL 33.22
tree17: accuracy 0.98567; number of nodes 38; APL 29.40
tree18: accuracy 0.98550; number of nodes 34; APL 25.57
tree19: accuracy 0.97450; number of nodes 32; APL 23.20
tree20: accuracy 0.97767; number of nodes 26; APL 18.31
tree21: accuracy 0.95183; number of nodes 24; APL 16.56
tree22: accuracy 0.95833; number of nodes 24; APL 16.65
tree23: accuracy 0.98450; number of nodes 24; APL 16.60
tree24: accuracy 0.95100; number of nodes 22; APL 14.70
tree25: accuracy 0.95100; number of nodes 22; APL 14.73
tree26: accuracy 0.95100; number of nodes 22; APL 14.61
tree27: accuracy 0.95100; number of nodes 22; APL 14.57
tree28: accuracy 0.95100; number of nodes 16; APL 10.03
tree29: accuracy 0.95100; number of nodes 14; APL 8.66
