tree0: accuracy 0.99714; number of nodes 96; APL 59.88
tree1: accuracy 0.99714; number of nodes 88; APL 54.24
tree2: accuracy 0.99286; number of nodes 86; APL 53.02
tree3: accuracy 0.99429; number of nodes 80; APL 48.91
tree4: accuracy 0.99429; number of nodes 76; APL 46.07
tree5: accuracy 0.99429; number of nodes 72; APL 44.25
tree6: accuracy 0.99429; number of nodes 72; APL 44.23
tree7: accuracy 0.99143; number of nodes 70; APL 43.50
tree8: accuracy 0.99286; number of nodes 66; APL 42.16
tree9: accuracy 0.99143; number of nodes 64; APL 41.93
tree10: accuracy 0.99143; number of nodes 64; APL 41.75
tree11: accuracy 0.99143; number of nodes 60; APL 39.40
tree12: accuracy 0.99000; number of nodes 58; APL 38.98
tree13: accuracy 0.98857; number of nodes 56; APL 36.94
tree14: accuracy 0.98857; number of nodes 54; APL 35.27
tree15: accuracy 0.98714; number of nodes 52; APL 33.71
tree16: accuracy 0.98714; number of nodes 50; APL 32.35
tree17: accuracy 0.98714; number of nodes 46; APL 31.15
tree18: accuracy 0.98714; number of nodes 44; APL 28.68
tree19: accuracy 0.97571; number of nodes 40; APL 25.75
tree20: accuracy 0.97714; number of nodes 34; APL 21.72
tree21: accuracy 0.96000; number of nodes 34; APL 21.66
tree22: accuracy 0.94857; number of nodes 30; APL 19.02
tree23: accuracy 0.94000; number of nodes 30; APL 19.14
tree24: accuracy 0.94000; number of nodes 30; APL 19.03
tree25: accuracy 0.94000; number of nodes 28; APL 17.22
tree26: accuracy 0.94000; number of nodes 26; APL 15.83
tree27: accuracy 0.94000; number of nodes 26; APL 16.04
tree28: accuracy 0.94000; number of nodes 20; APL 11.21
tree29: accuracy 0.94000; number of nodes 16; APL 9.06
tree30: accuracy 0.94000; number of nodes 8; APL 4.51
tree31: accuracy 0.66429; number of nodes 6; APL 2.75
tree32: accuracy 0.61286; number of nodes 4; APL 1.49
