tree0: accuracy 0.99571; number of nodes 70; APL 52.36
tree1: accuracy 0.99571; number of nodes 64; APL 48.10
tree2: accuracy 0.98857; number of nodes 62; APL 45.52
tree3: accuracy 0.99714; number of nodes 54; APL 40.25
tree4: accuracy 0.99714; number of nodes 52; APL 38.72
tree5: accuracy 0.99714; number of nodes 50; APL 36.54
tree6: accuracy 0.99714; number of nodes 50; APL 36.66
tree7: accuracy 0.99571; number of nodes 50; APL 36.54
tree8: accuracy 0.99571; number of nodes 50; APL 36.55
tree9: accuracy 0.99286; number of nodes 50; APL 36.65
tree10: accuracy 0.99143; number of nodes 46; APL 34.28
tree11: accuracy 0.99143; number of nodes 46; APL 34.14
tree12: accuracy 0.99000; number of nodes 48; APL 35.13
tree13: accuracy 0.99000; number of nodes 44; APL 32.79
tree14: accuracy 0.98857; number of nodes 38; APL 28.34
tree15: accuracy 0.98857; number of nodes 36; APL 26.89
tree16: accuracy 0.99143; number of nodes 36; APL 27.05
tree17: accuracy 0.99000; number of nodes 34; APL 24.18
tree18: accuracy 0.98286; number of nodes 32; APL 22.42
tree19: accuracy 0.97571; number of nodes 30; APL 21.07
tree20: accuracy 0.97714; number of nodes 26; APL 18.85
tree21: accuracy 0.96000; number of nodes 28; APL 19.53
tree22: accuracy 0.94857; number of nodes 24; APL 16.38
tree23: accuracy 0.94000; number of nodes 24; APL 16.81
tree24: accuracy 0.94000; number of nodes 24; APL 16.67
tree25: accuracy 0.94000; number of nodes 22; APL 14.71
tree26: accuracy 0.94000; number of nodes 22; APL 14.60
tree27: accuracy 0.94000; number of nodes 20; APL 13.24
tree28: accuracy 0.94000; number of nodes 16; APL 9.93
tree29: accuracy 0.94000; number of nodes 14; APL 8.61
tree30: accuracy 0.94000; number of nodes 8; APL 4.51
tree31: accuracy 0.66429; number of nodes 6; APL 2.75
tree32: accuracy 0.33857; number of nodes 4; APL 1.49
