tree0: accuracy 0.99714; number of nodes 54; APL 40.56
tree1: accuracy 0.99571; number of nodes 52; APL 39.00
tree2: accuracy 0.99429; number of nodes 52; APL 38.89
tree3: accuracy 0.99714; number of nodes 48; APL 35.78
tree4: accuracy 0.99714; number of nodes 46; APL 34.25
tree5: accuracy 0.99714; number of nodes 46; APL 34.37
tree6: accuracy 0.99714; number of nodes 46; APL 34.37
tree7: accuracy 0.99429; number of nodes 46; APL 34.25
tree8: accuracy 0.99429; number of nodes 44; APL 33.78
tree9: accuracy 0.99000; number of nodes 44; APL 33.58
tree10: accuracy 0.99286; number of nodes 44; APL 33.35
tree11: accuracy 0.99143; number of nodes 44; APL 33.35
tree12: accuracy 0.99000; number of nodes 46; APL 34.34
tree13: accuracy 0.98857; number of nodes 42; APL 31.43
tree14: accuracy 0.99000; number of nodes 40; APL 29.21
tree15: accuracy 0.98714; number of nodes 38; APL 27.21
tree16: accuracy 0.99000; number of nodes 38; APL 28.17
tree17: accuracy 0.99000; number of nodes 34; APL 24.91
tree18: accuracy 0.98286; number of nodes 32; APL 22.19
tree19: accuracy 0.98000; number of nodes 30; APL 20.67
tree20: accuracy 0.97714; number of nodes 26; APL 18.50
tree21: accuracy 0.96857; number of nodes 26; APL 18.15
tree22: accuracy 0.94857; number of nodes 26; APL 18.14
tree23: accuracy 0.94000; number of nodes 24; APL 16.69
tree24: accuracy 0.94000; number of nodes 24; APL 16.54
tree25: accuracy 0.94000; number of nodes 22; APL 14.84
tree26: accuracy 0.94000; number of nodes 22; APL 14.64
tree27: accuracy 0.94000; number of nodes 20; APL 13.33
tree28: accuracy 0.94000; number of nodes 16; APL 9.95
tree29: accuracy 0.94000; number of nodes 14; APL 8.61
tree30: accuracy 0.94000; number of nodes 8; APL 4.51
tree31: accuracy 0.66429; number of nodes 6; APL 2.75
tree32: accuracy 0.33857; number of nodes 4; APL 1.49
