tree0: accuracy 1.00000; number of nodes 30; APL 12.39
tree1: accuracy 1.00000; number of nodes 30; APL 12.39
tree2: accuracy 0.99950; number of nodes 30; APL 12.42
tree3: accuracy 0.99850; number of nodes 30; APL 12.38
tree4: accuracy 0.99850; number of nodes 30; APL 12.38
tree5: accuracy 0.99850; number of nodes 30; APL 11.93
tree6: accuracy 0.99850; number of nodes 28; APL 10.82
tree7: accuracy 0.99850; number of nodes 26; APL 10.82
tree8: accuracy 0.99850; number of nodes 26; APL 11.31
tree9: accuracy 0.99850; number of nodes 26; APL 11.32
tree10: accuracy 0.99850; number of nodes 26; APL 10.87
tree11: accuracy 0.99850; number of nodes 26; APL 10.88
tree12: accuracy 0.99850; number of nodes 26; APL 10.90
tree13: accuracy 0.99850; number of nodes 26; APL 10.39
tree14: accuracy 0.99850; number of nodes 26; APL 10.88
tree15: accuracy 0.99750; number of nodes 24; APL 9.77
tree16: accuracy 0.99750; number of nodes 24; APL 9.77
tree17: accuracy 0.99800; number of nodes 22; APL 10.12
tree18: accuracy 0.99800; number of nodes 22; APL 9.72
tree19: accuracy 0.99400; number of nodes 22; APL 9.77
tree20: accuracy 0.99200; number of nodes 18; APL 8.45
tree21: accuracy 0.98700; number of nodes 16; APL 7.53
tree22: accuracy 0.98550; number of nodes 16; APL 7.98
tree23: accuracy 0.98000; number of nodes 16; APL 8.71
tree24: accuracy 0.97200; number of nodes 16; APL 8.31
tree25: accuracy 0.96850; number of nodes 18; APL 9.02
tree26: accuracy 0.96550; number of nodes 16; APL 6.86
tree27: accuracy 0.95500; number of nodes 16; APL 7.24
tree28: accuracy 0.95100; number of nodes 14; APL 6.53
tree29: accuracy 0.95100; number of nodes 14; APL 6.69
tree30: accuracy 0.95100; number of nodes 8; APL 4.10
tree31: accuracy 0.95100; number of nodes 6; APL 2.35
tree32: accuracy 0.95100; number of nodes 4; APL 1.55
