tree0: accuracy 0.98867; number of nodes 80; APL 61.56
tree1: accuracy 0.99100; number of nodes 74; APL 56.93
tree2: accuracy 0.99017; number of nodes 66; APL 50.82
tree3: accuracy 0.99183; number of nodes 62; APL 48.99
tree4: accuracy 0.99117; number of nodes 58; APL 45.51
tree5: accuracy 0.99050; number of nodes 56; APL 42.59
tree6: accuracy 0.99117; number of nodes 56; APL 42.83
tree7: accuracy 0.99100; number of nodes 56; APL 44.23
tree8: accuracy 0.99183; number of nodes 56; APL 42.74
tree9: accuracy 0.99133; number of nodes 54; APL 41.66
tree10: accuracy 0.98933; number of nodes 52; APL 39.77
tree11: accuracy 0.98350; number of nodes 52; APL 39.87
tree12: accuracy 0.98783; number of nodes 52; APL 40.92
tree13: accuracy 0.98400; number of nodes 48; APL 38.41
tree14: accuracy 0.98083; number of nodes 48; APL 36.91
tree15: accuracy 0.98250; number of nodes 48; APL 38.15
tree16: accuracy 0.98583; number of nodes 44; APL 34.71
tree17: accuracy 0.98583; number of nodes 40; APL 31.02
tree18: accuracy 0.98550; number of nodes 38; APL 27.86
tree19: accuracy 0.97450; number of nodes 32; APL 23.64
tree20: accuracy 0.97767; number of nodes 24; APL 16.48
tree21: accuracy 0.95183; number of nodes 26; APL 17.74
tree22: accuracy 0.92733; number of nodes 24; APL 16.56
tree23: accuracy 0.98450; number of nodes 24; APL 16.28
tree24: accuracy 0.95100; number of nodes 22; APL 14.70
tree25: accuracy 0.95100; number of nodes 22; APL 14.73
tree26: accuracy 0.95100; number of nodes 22; APL 14.44
tree27: accuracy 0.95100; number of nodes 22; APL 14.52
tree28: accuracy 0.95100; number of nodes 16; APL 10.02
tree29: accuracy 0.95100; number of nodes 14; APL 8.66
