tree0: accuracy 0.99950; number of nodes 28; APL 12.42
tree1: accuracy 0.99900; number of nodes 28; APL 12.43
tree2: accuracy 0.99950; number of nodes 28; APL 12.43
tree3: accuracy 0.99850; number of nodes 26; APL 10.89
tree4: accuracy 0.99700; number of nodes 26; APL 10.87
tree5: accuracy 0.99850; number of nodes 24; APL 10.79
tree6: accuracy 0.99850; number of nodes 24; APL 10.79
tree7: accuracy 0.99850; number of nodes 24; APL 10.79
tree8: accuracy 0.99850; number of nodes 24; APL 11.29
tree9: accuracy 0.99850; number of nodes 24; APL 11.29
tree10: accuracy 0.99850; number of nodes 24; APL 10.85
tree11: accuracy 0.99850; number of nodes 24; APL 10.85
tree12: accuracy 0.99850; number of nodes 24; APL 10.85
tree13: accuracy 0.99850; number of nodes 22; APL 9.74
tree14: accuracy 0.99850; number of nodes 22; APL 9.74
tree15: accuracy 0.99750; number of nodes 22; APL 9.75
tree16: accuracy 0.99750; number of nodes 22; APL 9.75
tree17: accuracy 0.99800; number of nodes 20; APL 9.66
tree18: accuracy 0.99800; number of nodes 20; APL 9.67
tree19: accuracy 0.99400; number of nodes 18; APL 7.68
tree20: accuracy 0.99150; number of nodes 14; APL 6.42
tree21: accuracy 0.98700; number of nodes 14; APL 6.41
tree22: accuracy 0.98550; number of nodes 14; APL 6.40
tree23: accuracy 0.97800; number of nodes 16; APL 8.34
tree24: accuracy 0.97200; number of nodes 16; APL 8.31
tree25: accuracy 0.96850; number of nodes 18; APL 8.38
tree26: accuracy 0.96550; number of nodes 18; APL 8.44
tree27: accuracy 0.95500; number of nodes 16; APL 7.24
tree28: accuracy 0.95100; number of nodes 14; APL 6.24
tree29: accuracy 0.95100; number of nodes 14; APL 6.70
tree30: accuracy 0.95100; number of nodes 8; APL 4.05
tree31: accuracy 0.95100; number of nodes 6; APL 2.35
tree32: accuracy 0.95100; number of nodes 4; APL 1.55
