tree0: accuracy 0.99167; number of nodes 102; APL 71.58
tree1: accuracy 0.99283; number of nodes 88; APL 62.79
tree2: accuracy 0.99133; number of nodes 82; APL 58.05
tree3: accuracy 0.99150; number of nodes 74; APL 52.32
tree4: accuracy 0.99117; number of nodes 76; APL 54.15
tree5: accuracy 0.99367; number of nodes 74; APL 53.69
tree6: accuracy 0.99333; number of nodes 72; APL 51.57
tree7: accuracy 0.99017; number of nodes 70; APL 50.59
tree8: accuracy 0.98917; number of nodes 66; APL 47.26
tree9: accuracy 0.98883; number of nodes 64; APL 45.80
tree10: accuracy 0.99017; number of nodes 62; APL 44.26
tree11: accuracy 0.98683; number of nodes 58; APL 41.20
tree12: accuracy 0.98667; number of nodes 58; APL 41.78
tree13: accuracy 0.98617; number of nodes 56; APL 40.16
tree14: accuracy 0.98450; number of nodes 56; APL 40.37
tree15: accuracy 0.98383; number of nodes 50; APL 35.27
tree16: accuracy 0.98617; number of nodes 48; APL 32.74
tree17: accuracy 0.99283; number of nodes 44; APL 29.35
tree18: accuracy 0.98317; number of nodes 42; APL 28.54
tree19: accuracy 0.97733; number of nodes 34; APL 23.68
tree20: accuracy 0.97700; number of nodes 30; APL 19.85
tree21: accuracy 0.94967; number of nodes 26; APL 16.89
tree22: accuracy 0.93233; number of nodes 26; APL 17.01
tree23: accuracy 0.95350; number of nodes 26; APL 16.87
tree24: accuracy 0.95350; number of nodes 26; APL 16.44
tree25: accuracy 0.95350; number of nodes 24; APL 14.90
tree26: accuracy 0.95350; number of nodes 24; APL 14.75
tree27: accuracy 0.95350; number of nodes 24; APL 14.99
tree28: accuracy 0.95350; number of nodes 18; APL 10.44
tree29: accuracy 0.95350; number of nodes 16; APL 9.06
